age_group,year,median,lower,upper,age_group_cat,STATEFIP,bpl,no_mig,prop_mig,pop,state_fip,state,origin_original,origin,df,se,se_log,se_logit
15,2001,0.010792485742039268,0.008110819393235146,0.014081754380956393,15-19,1,200,1306,0.008549414437119908,152759,01,Alabama,Mexico,Mexico,2.9,0.009768406742271538,1.1425819644277626,1.1524346054817045
15,2002,0.011284363891164833,0.008340713154207468,0.015145699108816161,15-19,1,200,1627,0.010380578683765592,156735,01,Alabama,Mexico,Mexico,2.9,0.01061659644141118,1.02273647402863,1.0334644328911298
15,2003,0.011752193787558105,0.008570287842407504,0.015900941700285037,15-19,1,200,2764,0.01773318106578728,155866,01,Alabama,Mexico,Mexico,2.9,0.013862953999887968,0.7817522388373871,0.7958654652364318
15,2004,0.012116345101313288,0.008684123388757544,0.01633921164305659,15-19,1,200,1270,0.008414942818144472,150922,01,Alabama,Mexico,Mexico,2.9,0.00975074303752655,1.1587414493776236,1.1685749406821808
15,2005,0.012331082633907392,0.009029309431318787,0.016416213164645643,15-19,1,200,1614,0.010515548548085505,153487,01,Alabama,Mexico,Mexico,2.2,0.005699344813066937,0.5419921544753439,0.5477520679380607
15,2006,0.012478821905230912,0.009339763888586983,0.01655401021833695,15-19,1,200,2516,0.01429594190711047,175994,01,Alabama,Mexico,Mexico,2.2,0.0061939972285938415,0.43326961377152007,0.4395534442759595
15,2007,0.012687909570107833,0.009369303422832386,0.016888849730194527,15-19,1,200,2146,0.01239123028864753,173187,01,Alabama,Mexico,Mexico,2.2,0.005818785078697904,0.4695889708408453,0.47548076246638804
15,2008,0.012619516458984362,0.009355158833541755,0.016719368064173203,15-19,1,200,1974,0.011169327916529926,176734,01,Alabama,Mexico,Mexico,2.2,0.0054721086265048895,0.4899228196538577,0.4954567384338801
15,2009,0.012574497980033225,0.009366087248187624,0.01658960340158496,15-19,1,200,1081,0.006407178885352395,168717,01,Alabama,Mexico,Mexico,2,0.0038655012490099597,0.6033078392499661,0.6071982671665783
15,2010,0.013201730454103569,0.010070253757238454,0.01744953345100958,15-19,1,200,2799,0.015584025121515308,179607,01,Alabama,Mexico,Mexico,2,0.005815875616070769,0.3731947023135486,0.37910264749575545
15,2011,0.012528678027363004,0.009462720212521106,0.01646822622682255,15-19,1,200,2322,0.013131404528694551,176828,01,Alabama,Mexico,Mexico,2,0.005387128441095785,0.41024769508272413,0.41570650536994685
15,2012,0.011751338778127717,0.008904930917761922,0.015651783043883063,15-19,1,200,1506,0.0087957014367480435,171220,01,Alabama,Mexico,Mexico,1.9,0.00426590107295273,0.4849983942303894,0.489302149852854
15,2013,0.011533438188847025,0.008809595901630163,0.015405274799983906,15-19,1,200,2278,0.013754792742203302,165615,01,Alabama,Mexico,Mexico,1.9,0.005410542864623189,0.3933569168237794,0.3988429185045043
15,2014,0.010638302813445308,0.008177660160515477,0.014379546394704672,15-19,1,200,2250,0.013519278491128349,166429,01,Alabama,Mexico,Mexico,1.9,0.005351527417607005,0.395844158482185,0.40126902619720894
15,2015,0.009474100034512982,0.007119212398724619,0.012817266206317042,15-19,1,200,1851,0.01119030777880552,165411,01,Alabama,Mexico,Mexico,1.9,0.004889521698549654,0.43694255736293725,0.4418874135238494
15,2016,0.008920391759480673,0.006532772246636471,0.012422008351304714,15-19,1,200,1853,0.010657755487047347,173864,01,Alabama,Mexico,Mexico,1.9,0.004655566320673542,0.4368242756489934,0.4415299943691775
15,2017,0.008825295804001017,0.006077064328015679,0.012909157785461466,15-19,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
15,2018,0.008888066473626643,0.005901235617625475,0.013556024124496887,15-19,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
20,2001,0.024047037335785015,0.017775084918983407,0.032413517839422985,20-24,1,200,2902,0.020175054400344825,143841,01,Alabama,Mexico,Mexico,2.9,0.015373178595392596,0.7619894494623937,0.7776791690030451
20,2002,0.0260078554933182,0.018531685703670978,0.03641109116585387,20-24,1,200,4716,0.032964959003502,143061,01,Alabama,Mexico,Mexico,2.9,0.019575378292914895,0.5938238324772472,0.6140665097981675
20,2003,0.02731940007111485,0.01926320603348981,0.03869082483253776,20-24,1,200,4518,0.030005977286312015,150570,01,Alabama,Mexico,Mexico,2.9,0.018232348270906213,0.607623877633986,0.6264202287907682
20,2004,0.028778189734740132,0.02053315948653058,0.04086617972805539,20-24,1,200,6365,0.042361601022268956,150254,01,Alabama,Mexico,Mexico,2.9,0.021547523034432272,0.5086569561689845,0.5311576443801445
20,2005,0.028525207778843074,0.020738601434381318,0.03934110167989144,20-24,1,200,4069,0.027069820044573062,150315,01,Alabama,Mexico,Mexico,2.2,0.00916268253354534,0.33848331900463696,0.3479009347003132
20,2006,0.02831811514534307,0.020834030174322806,0.0383822503455634,20-24,1,200,3602,0.023559575901471,152889,01,Alabama,Mexico,Mexico,2.2,0.008490998567603688,0.3604054081072627,0.36910127767395207
